prompt,chat,link,date,sent,status,eligible,chat_name,subscription_id
"Добрый день ,подскажите мастера по ремонту стиралок",Рынок Скадовск,t.me/RinokSkadovsk/3004390,12/1/2024 6:12pm,,,,,2
"Подскажите пожалуйста,кто нибудь знает работает ли какая нибудь вет.клиника сегодня?",Чат Свердловск | Регион 81,t.me/svk_region/104859,12/1/2024 6:13pm,,,,,8
Добрый день.может.кто знает русскоговорящего мастера по холодильникам.дайте пожалуйста контакты. Спасибо.,"Бухарест и Соседи 🇷🇴🌏🇺🇦 Украинцы в Румынии, Bucharest",t.me/bucharest_ukraine/387848,12/1/2024 6:14pm,,,,,1
"Здравствуйте, нужен контакт электрика, который может залезть на столб и переключить фазу.",Кондратово life,t.me/kondratovolife/55325,12/1/2024 6:14pm,,,,,4
Есть номер телефона мастера по ремонту стиральной машины 🥲🙏 плыз очень нужна помощь,Новое Измайлово,t.me/new_izmailovo/254058,12/1/2024 6:15pm,checked,checked,checked,,2
"Отдам холодильник в хорошем состоянии, пользовались 4-5год. Пол года назад был в ремонте, сейчас работает отлично| Только кому действительно нужно.",Магадан Чат Объявления Барахолка,t.me/magadant/47539,12/1/2024 6:17pm,,,,,1
"В танках как раз, если с телефона то заходи в настройки, и в самый низ та будет активировать промокод",Tanks Blitz Chat,t.me/tanksblitzchat/1341187,12/1/2024 6:19pm,,,,,7
"Надо сводить его к ветеринару, может правда че то мешает ему",💭Чат Зубиков,t.me/zubarefffchat/1062242,12/1/2024 6:19pm,,,,,8
Абой шпаклёвка ламинат кафель шкатурка гипсокартон электрика сантехника квартира ховли жой ремонт киламиз под ключ любой ремонт киламиз,Ахангараночка,t.me/axangaranochka/3804847,12/1/2024 6:20pm,,,,,4
"Здравствуйте 🤝  Подскажите Пожалуйста ветеринарную клинику, в Советском районе предпочтительнее!  В лс можно телефон. Заранее благодарю!",Родниковая Долина,t.me/chats_dolina/246401,12/1/2024 6:20pm,,,,,8
Подскажите пожалуйста а межсетевой экран обязательно настроить в роутере,Goodwill Traders,t.me/goodwill_traders/202128,12/1/2024 6:21pm,,,,,7
"Кстати, кто тоже столкнулся с проблемой что на телефоне что на высоких что на низких настройках графики ФПС не превышает 40, ограничение в кадрах не ставил, не понятно почему так",Tanks Blitz комментарии,t.me/tanks_blitz_comments/3981185,12/1/2024 6:23pm,,,,,7
Нужны услуги электрика дайте номер пожалуйста,Доска объявлений 📣 Володарское,t.me/vldr_ads/237322,12/1/2024 6:24pm,checked,checked,checked,,4
"Срочно нужна помощь! Всё по закону, оплачиваю 3000 рублей за полчаса делов! Нужен только телефон!",РАБОТА КАЗАНЬ,t.me/shabashkakazann/3085287,12/1/2024 6:24pm,,,,,7
"Добрый день.в каком городе работают ветклиника в воскресенье или дайте пожалуйста контакт ветврача,который выезжает на дом",Зооволонтеры Черногории_CG Stray,t.me/cg_stray/31700,12/1/2024 6:24pm,,,,,8
"Добрый день. Пожалуйста, помогите, дайте номер мастера по холодильнику 🙏",Бердянск Перекличка,t.me/berdiansk_me/3720856,12/1/2024 6:25pm,,,,,1
"Добрый день, соседи, подскажите контакты мастера по ремонту стиральных машин 🙏",ЖК Самолет и Догма Парк Краснодар,t.me/dogma_park_samolet/8641,12/1/2024 6:28pm,checked,checked,checked,,2
Добрый день всем) Подскажите хороший ремонт телефонов в Силифке/ташуджу,ТАШУДЖУ | Русскоговорящие,t.me/rustasucu/184795,12/1/2024 6:28pm,,,,,7
"Если название сети, пароль и настройки безопасности будут как в старом роутере - технике будет пофигу",Apple HomeKit & Google Home & Яндекс Умный Дом - Sprut.AI,t.me/SprutAI/592870,12/1/2024 6:31pm,,,,,7
"Я просто вызывал электрика на ремонт в другой комнате, пришлось денежек отдать, конечно, но хотя бы мозги себе не ебал",ГУЗЕЛЬСКИЙ ЧАТ,t.me/papapachuca_chat/1607504,12/1/2024 6:35pm,,,,,4
Подскажите пожалуйста  номер телефона электрика.,ЧАТ оперативный ❗️ Володарское 🇷🇺,t.me/vldr_chat/92251,12/1/2024 6:36pm,,,,,4
Подскажите пожалуйста ремонт ноутбуков,Украïнцi в Аланiï | Анталія,t.me/AlanyaUKRAINE/291573,12/1/2024 6:37pm,,,,,7
"Кошек лучше стерилизовать, чтобы в последствиях избежать болезней. Уточни у ветеринара… Если что могу с тобой поделиться контактом. Я только к ней обращаюсь, да мне кажется у нее вся Москва.",Кризис драмы Chat,t.me/irenebookschat/181211,12/1/2024 6:40pm,,,,,8
День добрый! А есть номер сантехника?  Чтобы он посмотрел или отрегулировал может быть .  ИБ 92 к 2 .,ЧАТ ЖК САМОЛЁТ,t.me/samolet_sosedi/267616,12/1/2024 6:42pm,checked,checked,checked,,4
"еще можно в настройках нового девайса (роутера) настроить чтобы у него был такой же мак, как у старого, если он это умеет","Чат під Каштаном | Ірпінь, Буча, Гостомель, Стоянка, Романівка, Ворзель",t.me/chat_kashtan/2409539,12/1/2024 6:47pm,,,,,7
Подскажите пожалуйста  Нужен мастер на час   Повесить телевизор  Оплата достойная,Кущевская объявления/новости ИНФО 365,t.me/kushevskay_reklama_novosti2023/73716,12/1/2024 6:47pm,checked,checked,checked,,3
"если нет второго пк, то только телефон на андроид. ну или искать второй пк. ещё может помочь оставшаяся флешка с установкой win 10",Чат МК,t.me/mknews_chat/3248808,12/1/2024 6:48pm,,,,,5
"Передерживать будете сами? Пишите новый пост, фото собак, количество, свой номер телефона, какой ваш вклад будет в это мероприятие и какая помощь нужна",В Будке - Животные 🐕 Мариуполь 🐈,t.me/vbudke_mariupol/253375,12/1/2024 6:48pm,,,,,7
"То есть если вы планируете менять телефон в ближайшее время, то лучше сделать это после замены)",Чат AppleInsider.ru,t.me/appleinsiderru_official/1417897,12/1/2024 6:49pm,,,,,7
СРОЧНО ИЩУ МАСТЕРА ПО РЕМОНТУ ТЕЛЕВИЗОРОВ,Чат жителей Доброполья (16+),t.me/dobropillyatdch/702227,12/1/2024 6:59pm,,,,,3
"Здравствуйте, не подскажите мастера по холодильникам в Ашукино?",Ашукино-чат,t.me/ashuki/128234,12/1/2024 7:01pm,checked,checked,checked,,1
А в настройках телефона?,Online - Nvuti & Cabura - Welvura & Winbee ✨ 𝓐𝓝 ✨,t.me/chat_nvuti_cabura_AN_new/1375622,12/1/2024 7:01pm,,,,,7
"Добрый день, гудит стиральная машина при отжиме, ищу мастера, Тбилиси",ТБИЛИСИ 🇬🇪 ЧАТ | Грузия,t.me/mytbilisi_chat/725260,12/1/2024 7:04pm,,,,,2
"Люди есть контакты сантехника который делает водопровод и устанавливает бак, бойлер и тд.",Красный Луч 24 ЧАТ,t.me/luch24/907056,12/1/2024 7:06pm,checked,checked,checked,,4
Монтаж 2х контурных Котлов.тёплый пол. Любые сантехнические  Работы.ремонт котлов  Электрика .мелкий ремонт по дому,АХАНГАРАНОЧКА👇🏻👇🏻👇🏻👇🏻🇺🇿🇺🇿🇺🇿,t.me/ahangaran0/2445782,12/1/2024 7:08pm,,,,,4
Здравствуйте кто занимается ремонтом планшетов нужно заменить дисплей,error,t.me/TroitskoyeOf/130313,12/1/2024 7:10pm,,,,,7
"Подскажите, пожалуйста, телефон ветеринара по Олимпийской ,врач О,Стороженко.","Мариупольский чат ""Дружба""",t.me/mariupol_druzhba/987710,12/1/2024 7:12pm,,,,,8
"Всем добрейшего, как сделать, чтобы окно ""Контакты"" не открывалось при каждом включении q2?",𝗩𝗥 𝗚𝗮𝗺𝗲𝘀 𝗥𝗨𝗦,t.me/VRGamesRUS/914077,12/1/2024 7:15pm,,,,,6
"Посоветуйте хорошего ветеринара, клинику здесь или в Николаеве, для кастрации котика",Беседка💬,t.me/besedka_var/31429,12/1/2024 7:15pm,,,,,8
На компах на асусе что у меня были есть в биосе настройка типа что бы интел встройка работала и дискретка.называеться igpu.включаешь и получаеться все работает и с матери выходы и с дискретки.,Resolume,t.me/resolume/126116,12/1/2024 7:19pm,,,,,7
"Какой можно установить виртуал ный банк кроме моно в телефон для установки Дия. Паспорт книжка. Нет id, нет банка. Я с ТОТ. Все кто может подсказать, спасибо.",Паспорти 🪪 Liberty UA,t.me/passport_liberty_ua/99225,12/1/2024 7:19pm,,,,,5
"Это был вопрос, а не утверждение )) Немного странно, что все распродано, а окна не во всех горят квартирах. Либо перекуры, либо ремонт, так получается? В любом случае жителей ещё мало реальных",ЖК Южные Сады Независимая группа,t.me/juzhns/99242,12/1/2024 7:20pm,,,,,6
Добрый день) у кого есть номер мастера который сможет сделать стиральную машинку ?,error,t.me/kadorr_tairovo_tg/256552,12/1/2024 7:20pm,,,,,2
Друзья скажите пожалуйста у нас есть выездной ветеринар в долине проглистовать  собаку и привить от бещенства,Байдарская долина,t.me/baydarvalley/24217,12/1/2024 7:21pm,,,,,8
Ремонт стиральных машин и другой бытовой техники,🔴 РЕКЛАМА МЕЛИТОПОЛЬ 🫶,t.me/reklama_melitopol/970810,12/1/2024 7:22pm,,,,,2
в настройках телефона,Ирокез — Чат,t.me/irokeclub_chat/8719287,12/1/2024 7:23pm,,,,,7
"Срочно нужна помощь! Всё по закону, оплачиваю 3000 рублей за полчаса делов! Нужен только телефон!",СНГ москва,t.me/jerdashmoskva/2907319,12/1/2024 7:25pm,,,,,7
"Добрый вечер, нет умельцев по ремонту телефона? У ребенка расшаталось гнездо зарядки и тел не заряжается? Если есть напишите в личку по",Никольский Новочебоксарск,t.me/nikolskchat/16180,12/1/2024 7:25pm,,,,,7
"Конкретно аллерголога не знаю, но нам нравится ветеринар в Modern Vet JLT - Dr Sara   Если лапы грызет, это может быть еще и грибок","ОАЭ с питомцем (собака, кошка и проч)",t.me/uae_pets/135832,12/1/2024 7:26pm,,,,,8
"Соседи, есть контакты сантехника нашего района по "" бытовым"" запросам?",ЖК Городские истории 2 очередь,t.me/goristorii2/97589,12/1/2024 7:27pm,,checked,checked,,4
Я его установить не могу из-за телефона типо на андроиде усложнили пиздеч,Безумные АПК,t.me/crazy_dave_apk/5322729,12/1/2024 7:32pm,,,,,5
Просто раньше где-то видел что с тсл какието проблемы  С установкой вроде всё стало с телефона и работает,NUM - No UI Movies,t.me/NUM_No_UI_Movies/244165,12/1/2024 7:32pm,,,,,5
"Arabsat ремонт телефонов шарм) пусть будет, в поиске найдется а то забуду",Отзывы об отелях Египта,t.me/egypt_hotels_travelask/696568,12/1/2024 7:33pm,,,,,7
"Это может быть от тревожности, от аллергии, грибка, у кого-то даже после прогулок в Хиллс парке было такое, на лапы попало что-то Вам лучше показать собачку ветеринару ❤️","ОАЭ с питомцем (собака, кошка и проч)",t.me/uae_pets/135833,12/1/2024 7:37pm,,,,,8
"Добрый день. Соседи, кто может установить ОС на ноутбук? Не бесплатно, конечно. Пишите в личку",Театральный парк,t.me/BurkovskoePoleChat/150091,12/1/2024 7:40pm,,,,,5
"Отдам холодильник в хорошем состоянии, пользовались 4-5год. Пол года назад был в ремонте, сейчас работает отлично| Только кому действительно нужно.",Барахолка Уфа,t.me/baraholkaufa/242131,12/1/2024 7:42pm,,,,,1
"Кто подскажет, есть ли тут ветеринар.",Ивня Life,t.me/ivnya_Life/109646,12/1/2024 7:43pm,,,,,8
Добрый день! Можете пожалуйста посоветовать русскоговорящего ветеринара?,Медицина в Сербии,t.me/vrachivserbii/119764,12/1/2024 7:43pm,,,,,8
"Добрый день, подскажите пожалуйста мастера по ремонту стиральных машин.",Нужный справочник Вильнюса,t.me/spravkavilnius/61086,12/1/2024 7:46pm,checked,checked,checked,,2
"Мне нужен совет Рины Ну или ветеринара  Кошку стерилизовать сразу или дать ей один раз родить?от кого то давно слышала,что надо дать родить,но хз,мне эта инфа не кажется надеждой",Ирокез — Чат,t.me/irokeclub_chat/8719722,12/1/2024 7:50pm,,,,,8
"Добрый день, подскажите пожалуйста номер телефона мастера по ремонту стиральных машин в Вильнюсе.",Нужный справочник Вильнюса,t.me/spravkavilnius/61087,12/1/2024 7:57pm,,,,,2
"Может подскажет кто, решил пройти верификацию в fragment, на паспорте требует доступ к камере и пишет, что его нет, в приложении tonkeeper, такое разрешение есть в настройках, что делать?",300 Криптанцев чат,t.me/cryptancichat/2331875,12/1/2024 7:57pm,,,,,7
"Всем добрый день! Поделитесь, пожалуйста, контактами сантехника!  Срочно! Кто сможет сегодня подойти  Пожалуйста!!!",ЧАТ ЖК ВЕРЕСАЕВО,t.me/veresaevoo/207782,12/1/2024 8:03pm,checked,checked,checked,,4
"Лет 20 назад, ремонтом компов занимался.  На одном из адресов, заебался тётке объяснять что такое ярык. Ей подруга на компашку 1с записала 🤣",Yaplakal.com ЧАТ,t.me/yap_chat/5958799,12/1/2024 8:04pm,,,,,7
"настройки, конфиденциальность, номер телефона.  с единичными аккаунтами сбои не бывают.",iMe Messenger,t.me/iMe_ai/431906,12/1/2024 8:09pm,,,,,7
Ассаламу алейкум. Есть кто занимается ремонтом телефонов?,Египет Каир Чат Форум - Наши в городе.,t.me/Cairo_ru/812350,12/1/2024 8:09pm,,,,,7
Добрый день нужен электрик специалист по проводке если есть контакты поделитесь пожалуйста.,ІЗМАЇЛ - ГОЛОВНИЙ,t.me/izmail_golovnui/476884,12/1/2024 8:11pm,,,,,4
Как точечно настроить автоторговлю сетками на споте на телефоне ? Гридбот на телефоне не даёт нужный уровень настройки,BYBIT Комьюнити,t.me/BybitRussian/4801751,12/1/2024 8:11pm,,,,,7
Всем привет! Подскажите кто-нибудь контакты сантехника во Флорипе,ВЫСТАВКИ В 2024 РАСПИСАНИЕ,t.me/florianopolis_360/39742,12/1/2024 8:11pm,,,,,4
"Добрый вечер, подскажите пжл по ремонту холодильников мастера",Долгопрудный мамы. Чат,t.me/dolgopa_moms/100209,12/1/2024 8:15pm,checked,checked,checked,,1
Есть мастер по холодильнику?,НОВАЯ ЗБУРЬЕВКА И РЯДОМ,t.me/novayazburyevka/281330,12/1/2024 8:16pm,checked,checked,checked,,1
"Добрый день! Пуэрто.  Нужна помощь сантехника, подтекает бочок унитаза, нужно заменить внутренности. Благодарю за контакт!",Канары | Тенерифе,t.me/kanaru_tenerife/60608,12/1/2024 8:16pm,checked,checked,checked,,4
"Подскажите,пожалуйста, номер телефона ветеринара по ул.Олимпийская Оксана Стороженко.","Мариупольский чат ""Дружба""",t.me/mariupol_druzhba/987755,12/1/2024 8:17pm,,,,,8
"во всех ветеринарных клиниках есть летальный исход в конце концов, так же как и в медицинских учреждениях",Ариг Ус Чат,t.me/ariguschat/379969,12/1/2024 8:18pm,,,,,8
Здравствуйте.  Поделитесь пожалуйста номером телефона электрика. Очень нужно,Нагаево.инфо,t.me/nagaevo_info/564589,12/1/2024 8:21pm,checked,checked,checked,,4
"Срочно нужна помощь! Всё по закону, оплачиваю 3000 рублей за полчаса делов! Нужен только телефон!",Объявления.Вакансии.РФ,t.me/rabota_msk_tg/9835639,12/1/2024 8:33pm,,,,,7
Доброго времени суток друзья если у кого-то номер по ремонту телефонов Первомайске или Брянка пожалуйста,Объявления ЛНР ДНР.Красный Луч.Антрацит.Ровеньки. ЧАТ,t.me/Baraholka_LNR_RuChat/67005,12/1/2024 8:33pm,,,,,7
"Приветствую! Подскажите, лампа на телефоне установлена, не заполняются куки для резки, горит красная точка, в чем может быть причина?",Lampa - Плагины,t.me/lampa_plugins/425441,12/1/2024 8:33pm,,,,,5
Попробуй дать мне 1.000 денег а потом я сделаю ремонт твоего телефона,Чатик NasTik_mm2,t.me/NasTikChatik/3655510,12/1/2024 8:33pm,,,,,7
"Всем привет. Подскажите, в чем может быть проблема с тем, что функционал программы на телефоне урезанный? МА есть, но все работает как будто это FA.  Например настройки выглядят вот так.",ZEEKR club,t.me/zeekrclub/728645,12/1/2024 8:33pm,,,,,7
"Веб меню есть,одна камера которая установлена была летом заходит в веб меню,а эти не могу победить.",ВИДЕОНАБЛЮДЕНИЕ.,t.me/cctvcameraroman/569959,12/1/2024 8:33pm,,,,,5
"Ремонт и заправка холодильников , морозильных камер",Объявления Ботакара,t.me/botakara/1549834,12/1/2024 8:33pm,,,,,1
"Переустановить виндовс,  версия  должна быть 23H2. Если версия 24Н2 то никак не поставишь. Ее модно посмотреть в свойствах компьютера","Free design embroidery, бесплатные дизайны",t.me/embroidery_freee/127377,12/1/2024 8:35pm,,,,,5
"Добрый вечер, друзья, пожалуйста, у кого есть номер телефона мастера по телевизорам, надо подключить ТО2, антену и т. Д., жилплощадка, Петровский район.","Перекличка СВЕТ💡, ВОДА💦, ОТОПЛЕНИЕ🔥, СВЯЗЬ🤳, ИНТЕРНЕТ☘️, РАСПИСАНИЕ ТРАНСПОРТА🚦 И ТД.",t.me/rollcallcomunalka24_7/137989,12/1/2024 8:36pm,checked,checked,checked,,5
"Гений лят, в настройках телефона перематал не на 1± час а на несколько дней И потом вернул обратно Там даже предупреждали об этом слепой",Fusion | pvz mod | Чат,t.me/fusionpvzchat/767046,12/1/2024 8:44pm,,,,,7
"Отдам холодильник в хорошем состоянии, пользовались 4-5год. Пол года назад был в ремонте, сейчас работает отлично| Только кому действительно нужно. За фрукты детям",Отдам даром Мурино | Девяткино 🌅,t.me/freemurinospb/20885,12/1/2024 8:44pm,,,,,1
Ты зачем перематал в настройках телефона на дохринища времени и потом вернул обратно,Fusion | pvz mod | Чат,t.me/fusionpvzchat/767071,12/1/2024 8:44pm,,,,,7
"Делал, иначе оно не может так стать Либо ещё что-то Но это уж точно смена даты в настройках телефона и потом возврат обратно Либо перемотка даты назад",Fusion | pvz mod | Чат,t.me/fusionpvzchat/767114,12/1/2024 8:44pm,,,,,7
"Ванбедрум в Сигейте, ремонт, бекярд, стиральная и сушильные машины 1900","Жилье в Нью Йорке, Аренда комнат и квартир в Нью Йорке, Бруклин, Комнаты в аренду, сдача комнат и квартир в США",t.me/NomadsHouse/86076,12/1/2024 8:48pm,,,,,2
То есть без замены блока тачка никуда не поедет?,Русское Tesla сообщество • RTC,t.me/teslacar_chat/619429,12/1/2024 8:51pm,,,,,7
"добрый день подскажите пожалуйста сервисный центр в районе Муратпаша , нужно заменить защитное стекло на телефоне",Анталия чат,t.me/globe_antalya_chat/307031,12/1/2024 8:52pm,,,,,7
"Должна быть настройка в планшете, но её нет",Jetour Dashing Club Джетур Дашинг Клуб,t.me/jetourdashingclub/469029,12/1/2024 8:52pm,,,,,7
"Подскажите пожалуйста хорошего мастера по холодильникам, текстильщик.",Перекличка г.Донецк Россия. Петровский.Кировский районы.🇷🇺,t.me/PETROVKA24_ZOV/245754,12/1/2024 8:54pm,,,,,1
скинь скрин настроек роутера,𝗩𝗥 𝗚𝗮𝗺𝗲𝘀 𝗥𝗨𝗦,t.me/VRGamesRUS/914156,12/1/2024 8:54pm,,,,,7
"Занимаюсь ремонтом бытовой техники(микроволновые печи,стиральные машины,духовые шкафы,бойлеры так же телевизоры)  По всем вопросам писать в лс.",Барахолка ДНР/Объявление/ Донецк / Макеевка,t.me/selldnruu/378089,12/1/2024 8:56pm,,,,,2
"Здравствуйте, подскажите пожалуйста, это у всех так или как то можно пофиксить? Хочу установить ВПН маме на телефон. А говорят не тот регион (мы из РФ)",Amnezia VPN (RU),t.me/amnezia_vpn/382352,12/1/2024 9:01pm,,,,,5
"Или вообще то место где сейчас роутер, замени на свитч там, а роутер на балкон)",Переделкино Ближнее - чат соседей,t.me/moe_pb/895310,12/1/2024 9:04pm,,,,,7
"Нужен человек понимающий в телефонах xiaomi. Поломка судя по всему связанна с программным обеспечением.  За ремонт заплачу, пишите в личку.  П.с. проблема серьезнее чем перезагрузить телефон)))",Ноф хаГалиль | נוף הגליל 🇮🇱 Городской чат | Ноф ха Галиль,t.me/nofhagalilchat/92659,12/1/2024 9:09pm,,,,,7
Котик... Тк плоха? Может в ветеринару позвонить ?😨😨 Не в обиду бро,Знакомства | Общение | Беседа | Группа для общения💋,t.me/chatikpg/900664,12/1/2024 9:13pm,,,,,8
"Ребята, кто знает, где на Бали есть ремонт телефонов xiaomi? Очень нужен этот телефон, все данные там:(",БалиЧат | Балифорум,t.me/balichat/2591480,12/1/2024 9:15pm,,,,,7
"Кто знает где камеру на телефоне починить, ( в соотношении, цена-качество)",Жизнь в ХуаХин'е - Хуа Хин Чат,t.me/huahinrus/247503,12/1/2024 9:16pm,,,,,7
"Вот в этом приложении и настраивай, на любом поддерживающем устройстве установить торрсерв(ер) это, телефон, компьютер, ноутбук, ВПС и прописать адрес в настройки торрсервер в лампе.",Lampa - Плагины,t.me/lampa_plugins/425513,12/1/2024 9:16pm,,,,,5
Мошенник и наебщик!!!!! Получает доступ к вашему телефону установкой приложения и оформляет на вас кредиты и займы мразь такая ущербная!!!!,ФРИЛАНС ЧАТ | Биржа,t.me/frilans_chat3/5045786,12/1/2024 9:19pm,,,,,5
Кто может помочь установить впн на роутер?,МАЙНЕРЫ РОССИИ - ГРУППА,t.me/minersofRussia/99840,12/1/2024 9:20pm,,,,,5
"Понятно. Я в сервисе делал, при установке. Телефон как метка тема. В самой метке часто батарея садится и машина начинает панику включать. А так телефон в машине и все ровно",Nissan Note,t.me/nissannote/440709,12/1/2024 9:21pm,,,,,5
Здравствуйте кто устанавливает телевизор есть номер мастера?,Объявления Ботакара,t.me/botakara/1549866,12/1/2024 9:22pm,,,,,3
"Добрый вечер, Старобельчане , подскажите, пожалуйста, мастера по ремонту ГБО . Номер телефона нужен. На газу не едет, на бензин переключаю, как по маслу",АвтопомощьЛНР / Луганский Водитель / Обстановка на дорогах,t.me/avtopomoshlnr/185071,12/1/2024 9:23pm,,,,,7
Ищу мастера чтоб повесил телевизор.,Купи Продай Балашиха Чат,t.me/kupibalashiha/58908,12/1/2024 9:23pm,,checked,checked,,3
"Подскажите, пожалуйста, номер местного ветеринарного врача в Светлодарске. Очень нужно. Машина сбила собаку в ПДУ. Ей нужна помощь.",Доска объявлений Светлодарск Дебальцево Мироновский Новолуганское Луганское,t.me/doskasvetlodarsk/182681,12/1/2024 9:25pm,,,,,8
"Я была на грани так отдать за кота ( уже записалась к ветеринару ), а потом увидела как Арес идет с его какашкой из ванны",Французский бульдог / French bulldog,t.me/thebulldogchat/268341,12/1/2024 9:26pm,,,,,8
"И еще вопрос, в камере карточка стоит. Через веб морду можно глянуть, что камера на карту насохраняла? Выставил настройки такие. Сейчас ищу, как в хранилище карты памяти попасть",Hikvision Chat,t.me/hikvision_chat/184224,12/1/2024 9:31pm,,,,,7
В настройке телефона?,DIMATEPLO - FC MOBILE CHAT,t.me/dimateplochat/9406850,12/1/2024 9:32pm,,,,,7
Ты только не смейся. Но я отдала телефон в ремонт и забыла забрать симку🫣,Ещё один чатик¡¡¡🍁,t.me/an0ther_chat/3599051,12/1/2024 9:32pm,,,,,7
"В разделе блютус в приложении ли есть памятка, как настроить, чтобы ключ в телефоне не засыпал.",Lixiang Russia,t.me/lixiang_chat/386300,12/1/2024 9:35pm,,,,,7
"Здравствуйте, есть мастер кто может установить телевизор?",ЖК Пехра СОСЕДИ Балашиха,t.me/pehra_sosedi/323279,12/1/2024 9:36pm,checked,checked,checked,,5
РЕМОНТ ХОЛОДИЛЬНИКОВ,error,t.me/online_reklama_melitopol/1273611,12/1/2024 9:36pm,,,,,1
Всем привет я установил на флешку винду и выбрал её в биосе на то чтоб она первой грузилось и вот итог,СБОРКА ПК | ТЕХНИКА | ИГРЫ | PCDAT,t.me/pcdatchat/648798,12/1/2024 9:41pm,,,,,5
Это просто нужно на другом телефоне установить дию ? только указывать свои данные?,☯️Харьков и область. UA_ Переселенцы/ВПО/Выплаты/Гуманитарная помощь/Информационная помощь☯️,t.me/vpokh/348656,12/1/2024 9:45pm,,,,,5
"#Чугурети #Марджанишвили, центр #Комнат_2 #Спален_1 58 кв.м. Новостройка. Свежий ремонт. Духовка. Посудомойка. Интернет.  🟢 750$ #Агентство_Территория",Тбилиси Аренда Квартир,t.me/tbilisi_arendaa/5276928,12/1/2024 9:45pm,,,,,
У меня в телефоне.  И такого нет . Все по другому. Простите. Я тупая совсем.  Прошу помощи и сама даже не могу ничего найти!!,Dolgopacity Chat,t.me/DolgopaCityChat/294678,12/1/2024 9:46pm,,,,,7
Добрый вечер  Посоветуйте ветеринара в нашем районе 🙏🏻,ЖК Московский ЦДС,t.me/cdsmoskovskiy/297420,12/1/2024 9:52pm,,,,,8
Мы ремонтом бойлера😆,🍂🍁💛💙БожеВІЛЬНА🇺🇦Mаm@@@UA💛💙🍂🍃,t.me/bozheVilnamamaaa/1335609,12/1/2024 9:53pm,,,,,
"Если до заводских сбрасывал и в настройках порядок, другой смарт с этого шнурка работает..  тогда в ремонт сдай этот телефон...  Неисправность имхо !",Haval Jolion 2024 клуб Хавал Джолион форум отзывы,t.me/haval_jolion/1154289,12/1/2024 9:54pm,,,,,7
"зайти с компа в вк, настройки группы и там будет меню",Ирокез — Чат,t.me/irokeclub_chat/8721303,12/1/2024 9:56pm,,,,,7
"Срочно нужна помощь! Всё по закону, оплачиваю 3000 рублей за полчаса делов! Нужен только телефон!",РАБОТА КАЗАНЬ,t.me/shabashkakazann/3086276,12/1/2024 9:57pm,,,,,7
"Добрый вечер! Извините, а в МО по телефону 117 тоже сообщают, что пропал без вести? Простите за вопрос, Бог Вам в помощь 🙏",ДоброЧат Балашихи,t.me/dobro_chat_balashikha/86689,12/1/2024 10:07pm,,,,,7
Добрый вечер  Есть ветеринар в группе и в нашем жк?кошечку нужно посмотреть,ЖК Московский ЦДС,t.me/cdsmoskovskiy/297426,12/1/2024 10:16pm,,,,,8
Видео с регистратора можно скачать на телефон с помощью приложения ZEEKR,ZEEKR club,t.me/zeekrclub/728675,12/1/2024 10:19pm,,,,,7
Добрый вечер подскажите пожалуйста номер телефона Володи с Осыново по ремонту газовых котлов,НОВОПСКОВ SOS 🆘🔔💬,t.me/Novopskov1/549184,12/1/2024 10:24pm,,,,,7
"Спасибо, на сегодня есть, завтра куплю в вет. клинике надеюсь)",Женский клуб Нови Сада,t.me/klubnovisada/190025,12/1/2024 10:31pm,,,,,8
"В каком ремонте? Вы что телефоны ремонтиоуете что ли? Вроде, купил, года 4 - 5 походил, продал...какой ещё ремонт телефонов???😜",Haval Jolion 2024 клуб Хавал Джолион форум отзывы,t.me/haval_jolion/1154326,12/1/2024 10:33pm,,,,,7
Нужен авто электрик скиньте номер !!!,Бердянск Комиссионка,t.me/komissionka_brd/593809,12/1/2024 10:34pm,,,,,4
"Здравствуйте соседи , нет ли здесь людей , кто занимается ремонтом стиральных машин , либо контакты мастера",ЖК Датский Квартал,t.me/datski_kvartal/97998,12/1/2024 10:37pm,checked,checked,checked,,2
"Скажите, пожалуйста, а есть контакт электрика Левады",error,t.me/OurLevada/205014,12/1/2024 10:37pm,,,,,4
"К сожалению в ЛНР дороги отремонтировали, а камер нет, народ гоняет как может.. Царствие небесное....",ReadovChat,t.me/readovchat/18853585,12/1/2024 10:44pm,,,,,7
"Если стоит старлайн, то зачем коннект?  Или вы сами решили что вам поставили блок коннекта? Установка приложения на телефон это не установка блока на машину…",Jetour Fan Сlub | Россия,t.me/JetourclubRussia/228131,12/1/2024 10:45pm,,,,,5
"Точно так и если настроил, то и расстояние до камеры будет говорить",SilverStoneF1 ЧАТ 🇷🇺 Россия,t.me/silver_stone_f1/144249,12/1/2024 10:45pm,,,,,7
"Соседи, Добрый вечер! Подскажите, может кто сталкивался Посудомойка не хочет качать воду, буквально 5 минут пошипит и пищит датчик ошибки. Или посоветуйте пожалуйста контакт специалиста🙏🏼",Альфа Центавра Жители,t.me/ac_people/97498,12/1/2024 10:45pm,,,,,
Кто может винду установить? Новый ноут без ОС.,Жизнь в Пригороде Лесное,t.me/plevents/761714,12/1/2024 10:56pm,,,,,5
"Добрый вечер, есть ли мастер по стиральным машинками или может быть есть у кого нибудь контакты?срочно нужен",ЖК «Светлый» | Жители,t.me/svetly_kazan/145917,12/1/2024 10:59pm,checked,checked,checked,,2
